시대,분류,세부사항,문화/신앙/예술,유적지,주거,기타
고조선,건국,"고조선 건국(선민사상): 8조법. 왕위세습, 관직 설치",,"중국 요령성, 길림성 지방과 한반도 전반에 걸쳐 나타남",,
구석기,도구,"- 뗀석기
- 사냥도구 주먹도끼, 찍개, 찌르개, 팔매돌
- 긁개, 밀개",,"- 평양 상원 검은모루 동굴, 경기 연천 전곡리, 충남 공주 석장리와 단양 수양개에서 고래와 물고기를 새긴 조각 발견, 충북 청원 두루봉 동굴(홍수아이)","- 막집(기둥자리, 담자리, 볼 땐 자리 등이 남아있음)",
구석기,경제,"- 열매 채집, 사냥. 물고기 잡이",,"평양 상원 검은모루 동굴, 경기 연천 전곡리, 충남 공주 석장리와 단양 수양개에서 고래와 물고기를 새긴 조각 발견, 충북 청원 두루봉 동굴(홍수아이)","- 막집(기둥자리, 담자리, 볼 땐 자리 등이 남아있음)",
구석기,사회,- 계급이 없는 평등사회,"- 시체 매장, 동굴벽화, 조각품 제작 (사냥의 성공과 풍요 기원)","평양 상원 검은모루 동굴, 경기 연천 전곡리, 충남 공주 석장리와 단양 수양개에서 고래와 물고기를 새긴 조각 발견, 충북 청원 두루봉 동굴(홍수아이)","- 막집(기둥자리, 담자리, 볼 땐 자리 등이 남아있음)",
신석기,도구,"- 간석기(돌보습, 돌화살촉 등)
- 석기(반달 돌칼 등 생활도구와 농기구)",,"- 제주 한경 고산리, 서울 강동 암사동, 강원 양양 오산리, 부산 영도 동삼동, 황해 봉산 지탑리(좁쌀 발견, 농경)","- 움집: 땅을 파고 기둥을 세운 후 지붕을 얹은 반지하 형 가옥, 중앙에는 취사와 난방을 위한 화덕",
신석기,경제,"- 농경과 목축 시작(신석기 혁명): 가축 사육. 조·피·수수 등 잡곡류 경작(돌팽이, 돌삽, 돌보습, 돌낫)
- 원시적 수공업 생산 가락바퀴와 뼈바늘로 옷과 그물 제작","- 토기(이른 민무늬 토기, 덧무늬 토기, 압인문 토기, 빗살무늬 토기 등)","제주 한경 고산리, 서울 강동 암사동, 강원 양양 오산리, 부산 영도 동삼동, 황해 봉산 지탑리(좁쌀 발견, 농경)","- 움집: 땅을 파고 기둥을 세운 후 지붕을 얹은 반지하 형 가옥, 중앙에는 취사와 난방을 위한 화덕",
신석기,사회,"- 정착 생활, 부족 사회(혈연 바탕 씨족에서 족외혼을 통한 부족), 평등 사회","- 원시 신앙 등장(애니미즘, 토테미즘, 샤머니즘)
- 조개 껍데기 예술품, 뼈나 이빨로 만든 치레걸이 등","제주 한경 고산리, 서울 강동 암사동, 강원 양양 오산리, 부산 영도 동삼동, 황해 봉산 지탑리(좁쌀 발견, 농경)","- 움집: 땅을 파고 기둥을 세운 후 지붕을 얹은 반지하 형 가옥, 중앙에는 취사와 난방을 위한 화덕",
청동기,도구,- 청동기(비파형동검. 거친무늬 거울 등),"- 토기(미송리식 토기, 민무늬 토기)",,"- 움집: 직사각형 집터의 지상가옥, 온돌과 화덕이 벽으로 이동하고 저장 구덩이 변화함. 주춧돌 사용. 이후 창고나 공동작업장 등이 따로 생김(조직 발달)",
청동기,경제,- 밭농사 중심. 벼농사 시작,"- 토기(미송리식 토기, 민무늬 토기)",,"- 움집: 직사각형 집터의 지상가옥, 온돌과 화덕이 벽으로 이동하고 저장 구덩이 변화함. 주춧돌 사용. 이후 창고나 공동작업장 등이 따로 생김(조직 발달)",
청동기,사회,"- 계급의 분화 군장 출현, 성 역할 분리, 장인 출현, 사유재산 제도","- 울주 대곡리 반구대 바위그림(풍성한 수학 염원), 고령 장기리 바위그림(태양 숭배) 등","구릉지나 야산에 거주, 배산임수","- 움집: 직사각형 집터의 지상가옥, 온돌과 화덕이 벽으로 이동하고 저장 구덩이 변화함. 주춧돌 사용. 이후 창고나 공동작업장 등이 따로 생김(조직 발달)","- 고인돌(덮개돌), 돌널무덤 등 무덤 크기와 껴묻거리로 군장 확인"
철기,도구,"- 철기(철제무기와 농기구)
- 청동기(의식용 도구, 세형 동검, 잔무늬 거울, 거푸집 등 독자적 발전)","- 토기(민무늬 토기, 덧띠 토기, 검은 간토기)",,"- 움집: 직사각형 집터의 지상가옥, 온돌과 화덕이 벽으로 이동하고 저장 구덩이 변화함. 주춧돌 사용. 이후 창고나 공동작업장 등이 따로 생김(조직 발달)","- 널무덤, 독무덤"
철기,경제,- 농업 생산량의 증가로 인구 증가,"- 토기(민무늬 토기, 덧띠 토기, 검은 간토기)",,"- 움집: 직사각형 집터의 지상가옥, 온돌과 화덕이 벽으로 이동하고 저장 구덩이 변화함. 주춧돌 사용. 이후 창고나 공동작업장 등이 따로 생김(조직 발달)","- 널무덤, 독무덤"
철기,사회,"- 연맹왕국의 등장 (부여, 고구려, 옥저, 동예, 삼한)",,,"- 움집: 직사각형 집터의 지상가옥, 온돌과 화덕이 벽으로 이동하고 저장 구덩이 변화함. 주춧돌 사용. 이후 창고나 공동작업장 등이 따로 생김(조직 발달)","- 널무덤, 독무덤"
고조선,멸망,"전국시대 후 진·한 교체기 때 유이민이 대거 이주하면서 위만이 집권함. 철기 문화를 수용하고 정복사업과 중계 무역 독점. 한 무제의 침략으로 왕검성이 함락하고 한군현(낙랑, 진번, 임둔, 현도) 설치.",,,,
