단원 제목,요약 (100자 이내),키워드
02 고려의 정치·사회와 문화 18,한국사영역 한국사 책1.indb 1 2025. 1. 2. 오후 4:43 이 책의 차례 I 전근대 한국사의 이해 Part I 01 고대 국가의 정치·사회와 문화 6,"['사회와', '차례', '문화', '국가의', '한국사']"
03 조선 시대 정치 운영과 세계관의 변화 30,내용 없음,['내용']
04 양반 신분제 사회와 상품 화폐 경제 39,내용 없음,['내용']
05 흥선 대원군의 정책과 개항 이후 근대적 개혁의 추진 47,II 근대 국민 국가 수립 운동,"['수립', '국민', '근대', '국가', '운동']"
06 근대 국가 수립을 위한 노력 58,내용 없음,['내용']
07 일본의 침략 확대와 국권 수호 운동 68,내용 없음,['내용']
08 개항 이후 경제·사회·문화의 변화 75,내용 없음,['내용']
"09 1910~1920년대 일제의 식민지 정책과 3·1 운동, 대한민국 임시 정부 82",III 일제 식민지 지배와 민족 운동의 전개,"['식민지', '일제', '운동의 전개', '운동의', '전개']"
10 다양한 민족 운동의 전개 92,내용 없음,['내용']
11 사회·문화의 변화와 사회 운동 103,내용 없음,['내용']
12 전시 동원 체제와 광복을 위한 노력 109,내용 없음,['내용']
13 대한민국 정부 수립과 6·25 전쟁 119,IV 대한민국의 발전,['발전']
14 민주화를 위한 노력과 경제 성장 129,내용 없음,['내용']
15 6월 민주 항쟁 이후 사회와 동아시아 평화를 위한 노력 139,내용 없음,['내용']
01 고대 국가의 정치 · 사회와 문화 자료 탐구 후삼국의 성립,책1.indb 2 2025. 1. 2. 오후 4:43 Contents Part 수능 유형 마스터 1회 146 II 수능 유형 마스터 2회 151 수능 유형 마스터 3회 156 ...,"['유형', '유형 마스터', '마스터', '수능 유형', '역사']"
10 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,교과서의 핵심 내용을 쉽게 1단계 자료 분석에서 핵심 내 1단계 자료 분석 이해할 수 있도록 체계적이 주먹도끼 1. 선사 문화의 전개와 국가의 성립 용과 관련된 주요 자료를 제시 ...,"['신라', '고구려', '고구려의', '성장', '신라의']"
12 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"책1.indb 10 2025. 1. 2. 오후 4:43 자료 탐구 후삼국의 성립 1단계 자료 분석 • 견훤은 상주 가은현 사람으로, …… 본래의 성은 이씨였는데 후에 견으로 성...","['신라', '불교', '자료', '1단계 자료', '문항']"
01 03,책1.indb 12 2025. 1. 2. 오후 4:43 대표 기출 확인하기 [2025학년도 수능 6월 모의평가] 1 (가) 시대의 사회 모습으로 가장 적절한 것은? 정답 및 해...,"['정답', '정답 해설', '등을', '것은 정답', '해설 자료에서']"
14 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,(가)에 들어갈 장면으로 가장 적절한 것은? (가)에 들어갈 내용으로 가장 적절한 것은? 고조선은 중국의 선진 문물을 수용하면서 한때 연과 대립 한국사 수업 영상 할 정도로 강성해...,"['것은', '있습니다', '25', '통치', '01']"
05 07,책1.indb 14 2025. 1. 2. 오후 4:44 정답과 해설 3쪽 [25013-0007] [25013-0009],"['25013', '14', '오후 44', '44', '책1 indb']"
"06 (가) 고구려왕이 군사 30,000명을 이끌고 와서 왕도인 한성",밑줄 친 ‘초기 국가’의 특징을 보여주는 사례로 옳은 것은? 밑줄 친 ‘이 왕’에 대한 설명으로 옳은 것은? 연맹체적 성격의 초기 국가는 우세한 정치 세력이 주변 부 15번 문제입...,"['정치', '회의', '옳은 것은', '옳은', '것은']"
09 11,"밑줄 친 ‘이 나라’에 대한 설명으로 옳은 것은? 을 포위하였다. …… 왕은 어찌할 바를 몰라 수십 명의 이 나라의 관제는 왕의 친족으로 상관(上官)을 삼으며, 족 기병을 거느리고...","['15', '고구려', '25013', '6조', '사회와']"
16 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,(가) 왕에 대한 설명으로 옳은 것은? (가) 문서에 대한 설명으로 옳은 것은? 한국사 백과사전 검색 이 비는 북한산에 세워져 있었으나 현재 국립 중앙 박물관 신라실에 전 시되어 ...,"['있습니다', '것은', '신라의', '것으로', '한국사']"
13 15,책1.indb 16 2025. 1. 2. 오후 4:44 정답과 해설 3쪽 [25013-0015] [25013-0017],"['25013', '16', '오후 44', '44', '책1 indb']"
18 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,밑줄 친 ‘이 시기’를 연표에서 옳게 고른 것은? 교사의 질문에 대한 학생의 답변으로 가장 적절한 것은? 이 시기에 중앙의 통제력이 약화된 틈을 타 지방에서는 호 이 향로는 부여 ...,"['것은', '건국', '정치', '통치', '세력']"
20 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"책1.indb 18 2025. 1. 2. 오후 4:44 ② 지방 행정 조직 향·부곡·소 향·부곡민은 주로 농업에 종사 5도 일반 행정 구역, 안찰사 파견 하였고, 소민은 광물,...","['관계', '행정', '무신', '권력', '서경']"
22 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 20 2025. 1. 2. 오후 4:44 (2) 원의 내정 간섭 쌍성총관부 고려 동북부 지역에 설치된 몽 ① 고려의 지위 격하 : 왕실의 용어와 관제 격하 골(원...,"['봉기', '고려의', '개혁', '교육', '받아']"
24 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 22 2025. 1. 2. 오후 4:44 자료 탐구 묘청의 서경 천도 운동 1단계 자료 분석 (가) 신 등이 보건대 서경 임원역의 땅은 음양가들이 말하는 대화 (...,"['서경', '세력은', '자료', '라고', '정치']"
01 03,책1.indb 24 2025. 1. 2. 오후 4:44 대표 기출 확인하기 [2025학년도 수능 6월 모의평가] 1 밑줄 친 ‘이 왕조’의 문화에 대한 설명으로 옳은 것은? 정...,"['정답', '정답 해설', '고려', '시기에', '것은 정답']"
26 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"다음 정책을 시행한 왕의 업적으로 옳은 것은? (가)에 들어갈 내용으로 옳은 것은? ○ 6명의 왕후와 23명의 부인을 두었는데, 황해도 출신이 한국사 사전 가장 많았다. 또한 경기...","['한국사', '옳은 것은', '옳은', '것은', '유교']"
05 07,책1.indb 26 2025. 1. 2. 오후 4:44 정답과 해설 7쪽 [25013-0025] [25013-0027],"['25013', '오후 44', '44', '책1 indb', '책1']"
06 ○ 이자겸은 다른 성이 왕비가 되어 권세와 총애를 나누는,"(가) 전투에 대한 설명으로 옳은 것은? (가), (나) 시기 사이에 있었던 사실로 옳은 것은? (가) 정지상 등이 “개경은 이미 왕업이 쇠하여 궁궐은 모두 불타 버리고 남은 것이...","['이끄는', '것이', '모두', '것은', '여러']"
09 11,"밑줄 친 ‘우리’에 대한 고려의 정책으로 옳은 것은? 것을 두려워하여 세 번째 딸을 왕비로 맞이할 것을 강하 옛날 태사인 영가가 이르기를, “우리 조상도 고려로부터 나 게 요청하니...","['고려의', '우리', '것을', '25013', '왕이']"
